hangul_word_wo_hadaa,hangul_word_original,english_phrase,hanja_word
남동생,남동생,younger brother,
남부터미널역,남부터미널역,Nambu Bus Terminal Station,
남자,남자,man male,男子
남편,남편,husband,男便
낮다,낮다,low,
내,내,my,
내다,내다,to pay,
내리다,내리다,to get off,
내일,내일,tomorrow,來日
냉면,냉면,naengmyeon,冷麵
냉장고,냉장고,refrigerator,冷藏庫
너무,너무,too,
넘어지다,넘어지다,fall down,
네,네,four (when modifying a counting unit that follows),
넷,넷,four,
년,년,year,
노란색,노란색,yellow,
노래,노래하다,to sing,
녹색,녹색,green,綠色
녹차,녹차,green tea,綠茶
높다,높다,high,
누가,누가,who,
누구,누구,who,
누나,누나,elder sister from a male perspective,
눈,눈,eye,
눈,눈,snow,
눈사람,눈사람,snowman,
뉴스,뉴스,news,
뉴욕,뉴욕,New York,
다니다,다니다,to go to (a company) / to work for,
다른,다른,other,
다리,다리,leg,
다섯,다섯,five,
다음,다음,next,
다이어트,다이어트,diet,
다치다,다치다,to be hurt,
닫다,닫다,to close,
달,달,month,
달러,달러,dollar,
담배,담배,cigarette,
대학생,대학생,college student,大學生
더,더,more,
덥다,덥다,hot,
도서관,도서관,library,圖書館
도서관,도서관,library,圖書館
도와주다,도와주다,to help,
도착,도착하다,to arrive,
도쿄,도쿄,Tokyo,
독일,독일,Germany,獨逸
돈,돈,money,
동대문운동장역,동대문운동장역,Dongdaemun Stadium Station,
동생,동생,younger brother or sister,同生
두,두,two (when modifying a counting unit that follows),
둘,둘,two,
뒤,뒤,behind,
뒷사람,뒷사람,person behind,
드라마,드라마,drama (TV series),
드시다,드시다,to eat (honorific),
듣다,듣다,to listen to hear,
들다,들다,to be contained,
들어가다,들어가다,to go in to enter,
등산,등산,mountain climbing / hiking,登山
따뜻,따뜻하다,warm,
딸,딸,daughter,
땀,땀,sweat,
또,또,again / once more,
똑똑,똑똑하다,smart,
런던,런던,London,
로마,로마,Rome,
롯데월드,롯데월드,Lotte World,
마드리드,마드리드,Madrid,
만들다,만들다,to make,
많다,많다,many / much,
많이,많이,many much,
말레이시아,말레이시아,Malaysia,
말하기,말하기,speaking,
맛없다,맛없다,untasty,
맛있다,맛있다,tasty / delicious,
맞다,맞다,right,
매일,매일,everyday,每日
맥주,맥주,beer,麥酒
맵다,맵다,hot and spicy,
머리,머리,head,
먹다,먹다,to eat,
멀다,멀다,far,
메뉴,메뉴,menu,
며칠,며칠,what date,
명,명,counting unit for people,
명동,명동,Myeong-dong,鳴動
명동역,명동역,Myeongdong Station,
몇,몇,how many,
모자,모자,hat / cap,
목,목,neck throat 予 body,
목요일,목요일,Thursday,木曜日
무겁다,무겁다,heavy,
무섭다,무섭다,scary,
무슨,무슨,what kind of,
무슨,무슨,what,
문,문,door,
물,물,water,
뭐,뭐,what,
뭘,뭘,what,
미국,미국,the United States of America,美國
미안,미안하다,sorry,未安
바꾸다,바꾸다,to change,
바꾸다,바꾸다,to exchange,
바나나,바나나,banana,
바다,바다,sea ocean,
바쁘다,바쁘다,busy,
바지,바지,trousers pants,
밖,밖,outside,
반,반,half,
받다,받다,to receive /to take /to get,
발,발,foot,
밥,밥,steamed rice,
방,방,room with a bed,
방,방,room,
방콕,방콕,Bangkok,
방학,방학,school holidays,放學
배,배,abdomen stomach,
배,배,ship/boat,
배고프다,배고프다,hungry,
배우다,배우다,to learn,
백,백,hundred,
백화점,백화점,department store,百貨店
버스,버스,bus,
버스,버스,bus,
번,번,counting unit after number,
벗다,벗다,to take off,
베이징,베이징,Beijing,
베트남,베트남,Vietnam,
병,병,counting unit for bottles,
병원,병원,hospital,病院
보내다,보내다,to send / to mail,
보다,보다,to see / to watch,
복잡,복잡하다,crowded jammed,複雜
볼펜,볼펜,ball-point pen,
부산,부산,Busan,釜山
부엌,부엌,kitchen,
부치다,부치다,to send / to mail,
분,분,minute(s),
불고기,불고기,bulgogi,
브라질,브라질,Brasil,
비,비,rain,
비빔밥,비빔밥,bibimbap,
비싸다,비싸다,expensive,
비행기,비행기,airplane,飛行機
빌딩,빌딩,building,
빨간색,빨간색,red,
빨래,빨래하다,to do laundry,
빨리,빨리,quickly,
빵,빵,bread,
사,사,four,
사과,사과,apple,
사다,사다,to buy,
사당역,사당역,Sadang Station,
사람,사람,person,
사랑,사랑하다,to love,舍廊
사용,사용하다,to use,
사월,사월,April,四月
사전,사전,dictionary,
사진,사진,photograph,寫眞
산,산,mountain,
살,살,flesh,
살,살,-years old/counting unit for age,
삼,삼,three,
삼성역,삼성역,Samseong Station,
삼월,삼월,March,三月
색,색,color,
생각,생각,thinking / thought,
생선,생선,fish,生鮮
생선회,생선회,sliced raw fish,生鮮膾
생일,생일,birthday,生日
샤워,샤워하다,to take a shower,
서울,서울,Seoul,
서울대입구역,서울대입구역,Seoul Nat'l Univ. Station,
서울대학교,서울대학교,Seoul National University,
선생님,선생님,teacher,
설렁탕,설렁탕,Seolleongtang,
성함,성함,name (honorific),姓銜
세,세,three (when modifying a counting unit that follows),
세우다,세우다,to stop,
세일,세일,sale,
세탁소,세탁소,dry cleaner's,洗濯所
셋,셋,three,
소파,소파,sofa,
소포,소포,parcel,小包
손,손,hand,
손님,손님,customer / guest,
수영,수영하다,to swim,水泳
수영,수영,swimming,水泳
수영장,수영장,swimming pool,水泳場
수요일,수요일,Wednesday,水曜日
숙제,숙제하다,to do homework,宿題
숙제,숙제,homework,宿題
숟가락,숟가락,spoon,
술,술,liquor,
쉬다,쉬다,to rest,
쉽다,쉽다,easy,
스키,스키,skiing,
스키장,스키장,ski resort,
스파게티,스파게티,spaghetti,
슬프다,슬프다,sad,
시,시,o'clock,
시간,시간,hour,時間
시간표,시간표,time table,時間表
시계,시계,watch / clock,
시끄럽다,시끄럽다,noisy,
시내,시내,downtown,市內
시월,시월,October,十月
시장,시장,market,
시청,시청,city hall,
시청역,시청역,City Hall Station,
시험,시험,test,試驗
식당,식당,restaurant,食堂
신다,신다,to put on (shoes),
신문,신문,newspaper,
신발,신발,shoes,
심심,심심하다,bored,甚深
십,십,ten,
십만,십만,hundred thousand,十萬
십이월,십이월,December,十二月
십일월,십일월,November,十一月
싸다,싸다,cheap,
쓰다,쓰다,to write,
쓰다,쓰다,to wear /to put on (a hat),
씨,씨,"Mr., Miss, Mrs., Ms.",氏
아기,아기,baby,
아내,아내,wife,
아들,아들,son,
아래,아래,under / below,
아버지,아버지,father,
아이,아이,child,
아이스크림,아이스크림,ice cream,
아주,아주,very,
아직,아직,"(not) yet, still",
아침,아침,morning,
아프다,아프다,ill /in pain hurt,
아프리카,아프리카,Africa,
아홉,아홉,nine,
악수,악수하다,to shake hands,握手
안,안,inside,
안,안,not,
안국역,안국역,Anguk Station,
안내,안내,information guide,案內
앉다,앉다,to sit down,
앞,앞,front,
야구,야구,baseball,野球
야채,야채,vegetable,野菜
약,약,medicine,
약국,약국,pharmacy,藥局
약속,약속,appointment,約束
어깨,어깨,shoulder,
어디,어디,where,
어떤,어떤,what kind of,
어떻게,어떻게,how,
어렵다,어렵다,difficult,
어머니,어머니,mother,
언니,언니,elder sister from a female perspective,
언제,언제,when,
얼마,얼마,how much,
얼마나,얼마나,how long,
없다,없다,not to have,
에펠탑,에펠탑,the Eiffel Tower,
여기,여기,here,
여덟,여덟,eight,
여동생,여동생,younger sister,女同生
여섯,여섯,six,
여자,여자,woman female,女子
여행,여행,trip travel,旅行
여행,여행하다,to travel,旅行
여행사,여행사,travel agency,旅行社
연구원,연구원,researcher,
연필,연필,pencil,鉛筆
열,열,ten,
열,열,fever,
열다,열다,to open,
엽서,엽서,postcard,葉書
영국,영국,the United Kingdom,英國
영어,영어,English (language),
영화,영화,movie,
옆,옆,beside side,
예쁘다,예쁘다,pretty,
예술의,예술의,,
예약,예약하다,to reserve,豫約
오,오,five,
오늘,오늘,today,
오다,오다,to come,
오렌지,오렌지,orange,
오른쪽,오른쪽,right side,
오빠,오빠,elder brother from a female perspective,
오월,오월,May,五月
오전,오전,morning / a.m.,午前
오후,오후,afternoon / p.m.,午後
온돌방,온돌방,traditional Korean room / hot-floored room,溫突房
옷,옷,clothes,
옷장,옷장,wardrobe / closet,
왜,왜,why,
외국,외국,foreign country,外國
왼쪽,왼쪽,left side,
요가,요가,yoga,
요금,요금,fare charge,
요리,요리,cooking,料理
요리사,요리사,chef,料理師
요일,요일,a day of the week,曜日
요즘,요즘,these days nowadays,
우리,우리,we / our,
우리,우리,our,
우산,우산,umbrella,雨傘
우유,우유,milk,牛乳
우체국,우체국,post office,郵遞局
운동,운동,exercise / workout,運動
운동,운동하다,to exercise / to work out,運動
운전,운전,driving,運轉
운전,운전하다,to drive,運轉
원,원,KRW / won (Korean money),
월,월,month,
월요일,월요일,Monday,月曜日
위,위,above / on,
유럽,유럽,Europe,
유월,유월,June,六月
육,육,six,
융놀이,융놀이,yunnori,
은행,은행,bank,
은행원,은행원,bank clerk,銀行員
을지로3가역,을지로3가역,Euljiro 3-ga Station,
음식,음식,food,飮食
음악,음악,music,音樂
의사,의사,doctor,
의자,의자,chair,
이,이,this,
이,이,two,
이거,이거,this (one),
이렇게,이렇게,like this /in this way,
이름,이름,name,
이메일,이메일,e-mail,
이번,이번,this time,
이분,이분,this person (honorific),
이분,이분,this person (honorific),
이야기,이야기하다,to talk,
이용,이용,use,利用
이월,이월,February,
인도,인도,India,
인사동,인사동,Insa-dong,
인천공항,인천공항,Incheon Airport,仁川空港
일,일,day,
일,일,one,
일,일하다,to work,
일,일,day,
일,일,work,
일곱,일곱,seven,
일기,일기,diary,
일본,일본,Japan,日本
일본어,일본어,Japanese (language),日本語
일어나다,일어나다,to get up,
일요일,일요일,Sunday,日曜日
일월,일월,January,一月
읽다,읽다,to read,
입다,입다,to wear / to put on,
있다,있다,to have,
자다,자다,to sleep,
자리,자리,seat place,
자전거,자전거,bicycle,自轉車
자주,자주,often,自主
작년,작년,last year,昨年
작다,작다,small,
잔,잔,counting unit for glasses or cups,
잘,잘하다,be good at,
잠실역,잠실역,Jamsil Station,
장미,장미,rose,薔薇
재미없다,재미없다,not interesting,
재미있다,재미있다,interesting,
저,저,that,
저거,저거,that (one),
저녁,저녁,evening,
저분,저분,that person (honorific),
전당,전당,Seoul Arts Center,
전화,전화,telephone,
전화,전화하다,to call,
전화,전화,cellular phone/mobile,
전화번호,전화번호,telephone number,電話番號
점심,점심,lunch,點心
젓가락,젓가락,chopsticks,
정말,정말,really,
제,제,my,
제,제,my,
제주도,제주도,Jeju Island,濟州島
좀,좀,please,
좋다,좋다,good,
좋아,좋아하다,to like,
주다,주다,to give,
주말,주말,weekend,週末
주소,주소,address,住所
주스,주스,juice,
주일,주일,week,
주차장,주차장,parking lot,駐車場
준비,준비하다,to prepare,準備
중국,중국,China,中國
중국어,중국어,Chinese (language),中國語
지금,지금,now,只今
지난,지난,last,至難
지우개,지우개,eraser,
지하철,지하철,subway,地下鐵
지하철역,지하철역,subway station,地下鐵驛
직업,직업,job/ occupation,職業
직원,직원,staff,
질문,질문,question,質問
집,집,house,
집안일,집안일,chores,
짧다,짧다,short,
쯤,쯤,about / around,
찌다,찌다,to gain (weight),
찍다,찍다,to take (a picture),
차,차,car,
착,착하다,good-natured,
찬물,찬물,cold water,
참,참,very / really,
창문,창문,window,窓門
찾다,찾다,to look for,
책,책,book,
책방,책방,bookstore,冊房
책상,책상,desk,冊床
천,천,thousand,
청소,청소하다,to clean,淸掃
청소,청소,cleaning,淸掃
추석,추석,the Korean Thanksgiving,秋夕
축구,축구,soccer,蹴球
출발,출발하다,to depart,出發
출발,출발,departure,出發
춤추다,춤추다,to dance,
춥다,춥다,cold,
충무로역,충무로역,Chungmuro Station,
층,층,floor,
치다,치다,to play / to hit / to strike,
치마,치마,skirt,
친구,친구,friend,親舊
칠,칠,seven,
칠월,칠월,July,七月
침대,침대,,寢臺
침대,침대,bed,寢臺
카메라,카메라,camera,
캐나다,캐나다,Canada,
커피,커피,coffee,
커피숍,커피숍,coffee shop,
컴퓨터,컴퓨터,computer,
케이크,케이크,cake,
코,코,nose,
코엑스몰,코엑스몰,Coex Mall,
코트,코트,coat,
콜라,콜라,cola,
콧물,콧물,runny nose,
크다,크다,big,
타다,타다,to get on to ride,
태권도,태권도,taekwondo,跆拳道
택시,택시,taxi,
테니스,테니스,tennis,
텔레비전,텔레비전,television,
토요일,토요일,Saturday,土曜日
투표,투표하다,to vote,投票
투표,투표,vote,投票
특히,특히,especially,
티셔츠,티셔츠,T-shirt,
파란색,파란색,blue,
파리,파리,Paris,
파티,파티,party,
팔,팔,arm,
팔,팔,eight,
팔월,팔월,August,八月
편,편하다,comfortable,
편지,편지,letter,便紙
포도,포도,grape(s),葡萄
포크,포크,fork,
표,표,ticket,
프랑스,프랑스,France,
프랑스어,프랑스어,French (language),
피,피,blood,
피곤,피곤하다,tired,疲困
피라미드,피라미드,pyramid,
피아노,피아노,piano,
피우다,피우다,to smoke (a cigarette),
피자,피자,pizza,
하나,하나,one,
하루,하루,one day,
하얀색,하얀색,white,
학교,학교,school,學校
학생,학생,student,學生
한,한,one (when modifying a counting unit that follows),
한국,한국,Korea,韓國
한국어,한국어,Korean (language),韓國語
한라산,한라산,Hallasan,漢拏山
한번,한번,once,
한복,한복,hanbok (traditional Korean costume),韓服
할머니,할머니,grandmother,
할아버지,할아버지,grandfather,
항상,항상,always,恒常
햄버거,햄버거,hamburger,
허리,허리,waist,
형,형,elder brother from a male perspective,
호선,호선,subway line number,號線
호주,호주,Australia,
호텔,호텔,hotel,
홍차,홍차,black tea,紅茶
화요일,화요일,Tuesday,火曜日
화장실,화장실,rest room,化粧室
회사,회사,company,會社
회사원,회사원,company employee,會社員
회색,회색,grey,灰色
회의,회의하다,to hold a meeting,
회현역,회현역,Hyeohyeon Station,
휴가,휴가,leave / vacation,休暇
휴대,휴대,,携帶
힘들다,힘들다,laborous hard,
